,Date Added,category,sellerlink,sellerlink-url,sellerstorefront-url,sellerproductcount,sellerdetails,seller business name,businessaddress,Count of seller brands,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,Hero Product 1 #ratings,Hero Product 2 #ratings,Sample brand name,Sample Brand URL,Positive Percentage,Ratings,emails,phoneno,links,Positive % last 12 months,Number of ratings
0,2020-11-15,Garden,Seller 882,Seller 882-link,Seller 882-storefrontlink,1-16 of 786 results,"vitabody ist ein Onlinehandel für gesunde und nachhaltige Produkte - viele unserer Produkte sind u.a. BIO zertifiziert.
 


 v03 trading GmbH ist von ABCERT AG (DE-ÖKO-006) zum Verkauf von Bio-Lebensmitteln zertifiziert. Unser Zertifikat ist erhältlich bei dieser Kontrollstelle unter der Zertifikatsreferenznummer 1909DGPE3CAO0.
  
 

 
---------------------------------------------------------------------------------
 

 vitabody ist ein Angebot von:

Gesetzliche Anbieterkennung:

v03 Trading GmbH
diese vertreten durch...",Business Name:v03 trading GmbH,Hanns-Martin-Schleyer Str. 30aWillichNRW47877DE,15,1,1,2,427,343,wesentlich.,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=wesentlich.,98,2333,[],[],"['u.a.', 'durch...']",98,2333
1,2020-11-15,Garden,Seller 31,Seller 31-link,Seller 31-storefrontlink,"1-16 of over 1,000 results","Impressum
 
 Gesetzliche Anbieterkennung:
 
 Daniel Vogeley und Christopher Joachim Gemander GbR
 vertreten durch die Gesellschafter: Daniel Vogeley, Christopher Joachim Gemander
 Auf der Insel 20
 50259 Pulheim
 Deutschland
 Telefon: 022342509631
 
 E-Mail: info@deinegartenwelt.de
 USt-IdNr.: DE316235833
 
 
 Wir sind seit 04.04.2018 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de.
   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegu...",Business Name:Daniel Vogeley und Christopher Gemander GbR,Auf der Insel 20Pulheim50259DE,6,0,1,1,764,599,Visit the Deine Gartenwelt Store,https://www.amazon.de/-/en/stores/DeineGartenwelt/page/29C6D599-802D-4BC7-9B9D-1B2120839034?ref_=ast_bln,99,1739,['info@deinegartenwelt.de'],"['0223425096', '3162358']","['deinegartenwelt.de', '04.04.2018', '.fair-commerce.de.', 'Streitbeilegu...']",99,1739
2,2020-11-15,Garden,Seller 244,Seller 244-link,Seller 244-storefrontlink,1-16 of 625 results,"Geschäftsbedingungen 1. Geltungsbereich
 1.1 Unsere Angebote, Leistungen und Lieferungen erfolgen ausschließlich aufgrund dieser Geschäftsbedingungen. Spätestens mit dem Zustandekommen eines Vertrages oder mit der Entgegennahme der Ware oder Dienstleistung gelten diese Bedingungen als angenommen. Gegenbestätigungen unter Hinweis auf eigene Geschäftsbedingungen wird hiermit ausdrücklich widersprochen.
 1.2 Schriftliche Individualvereinbarungen gehen diesen Geschäftsbedingungen vor. 2. Angebot 2.1 U...",Business Name:Licht-Studio Völker e.K.,Zinnaer Vorstadt 43JüterbogBrandenburg14913DE,16,0,0,0,955,473,Visit the Steinel Store,https://www.amazon.de/-/en/stores/Steinel+Vertriebs+GmbH+%28FO%29/page/5C1CDC78-499B-4AEA-9647-AF678ED3820A?ref_=ast_bln,94,1699,[],[],"['1.1', '1.2', '2.1', 'U...']",94,1699
3,2020-11-15,Garden,Seller 494,Seller 494-link,Seller 494-storefrontlink,"1-16 of over 3,000 results","Impressum
  
 Gesetzliche Anbieterkennung:
  
 OTTO RÖHRS GmbH
 diese vertreten durch den Geschäftsführer Thomas Miesner
 Industriestraße 11
 27383 Scheeßel
 Deutschland
 Telefon: 04263 9380-500
 Telefax: 04263 9380-119
 E-Mail: support@roehrs-baumarkt.de
 USt-IdNr.: DE811241167
 eingetragen im Handelsregister des Amtsgerichtes Walsrode
 Handelsregisternummer HRB 70665
  
  
 Alternative Streitbeilegung:
Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattfo...",Business Name:Otto Röhrs GmbH,Otto Röhrs Gmbh Industriestraße 11Scheeßel27383DE,16,1,2,2,4786,4316,Neudorff,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Neudorff,97,1584,['support@roehrs-baumarkt.de'],"['263 9380', '263 9380', '8112411']","['roehrs-baumarkt.de', 'OS-Plattfo...']",97,1584
4,2020-11-15,Garden,Seller 26,Seller 26-link,Seller 26-storefrontlink,"1-16 of over 2,000 results","Gesetzliche Anbieterkennung: boni-shop.com OHG
 Wissmannstraße 58
 27755 Delmenhorst
 Deutschland
 Vertretungsberechtigte Gesellschafter: Klaas Niermann, Jens Böckenhauer, Christian Böttcher
 Telefon: 04221 45 777 00
 Telefax: 04221 45 777 10
 E-Mail: amazon@boni-shop.com
 USt-IdNr.: DE 283905130
 eingetragen im Handelsregister des Amtsgerichtes Oldenburg
 Handelsregisternummer HRA 206702 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa....",Business Name:boni-shop.com OHG,Wissmannstrasse58Delmenhorst27755DE,15,1,1,1,2128,1759,Nexa Lotte,https://www.amazon.de/-/en/Nexa-Lotte/b/ref=bl_dp_s_web_18437295031?ie=UTF8&node=18437295031&field-lbr_brands_browse-bin=Nexa+Lotte,98,1488,['amazon@boni-shop.com'],['2839051'],"['boni-shop.com', 'boni-shop.com', 'https://ec.europa....']",98,1488
5,2020-11-15,Garden,Seller 66,Seller 66-link,Seller 66-storefrontlink,1-16 of 579 results,"The business address is:  K A Parts Limited, Elles House, 4b Invincible Road, Farnborough, Hants, GU14 7QU, United Kingdom The price stated is valid for 14 days from the date of purchase.  Goods will be despatched from stock within working 5 working days of receipt of payment.   If goods are not in stock this will have been communicated in the item description or we will notify you within 5 working days.  Substitute goods will not be supplied if an item is out of stock.   You have the right to c...",Business Name:K A Parts Limited,7 Crawley Wood CloseCamberleySurreyGU15 2BXGB,15,0,0,0,8176,5499,(blank),(blank),99,1138,[],[],['c...'],99,1138
6,2020-11-15,Garden,Seller 63,Seller 63-link,Seller 63-storefrontlink,1-16 of 779 results,"Gesetzliche Anbieterkennung:
 
 Samir Zamel
 Bockholtstr 151
 41460 Neuss
 Deutschland
 Telefon: 02131 4055551
 Telefax: (02131) 7727195
 E-Mail: amazon@kanana-online.de
 USt-IdNr.: DE 257455410
 
 
 Alternative Streitbeilegung:
 Die Europäische Kommission stellt eine Plattform für die außergerichtliche Online-Streitbeilegung (OS-Plattform) bereit, aufrufbar unter ec.europa.eu/odr.
 
 Wir sind seit 03.12.2015 Mitglied der Initiative ""FairCommerce"".
Nähere Informationen hierzu finden Sie unter www.fair-commerce...",Business Name:Samir Zamel,Bockholtstr151Neuss41460DE,4,0,2,2,1888,1262,Soytich,https://www.amazon.de/-/en/Soytich/b/ref=bl_dp_s_web_18854816031?ie=UTF8&node=18854816031&field-lbr_brands_browse-bin=Soytich,98,1023,['amazon@kanana-online.de'],"['131 4055551', '7727195', '2574554']","['kanana-online.de', 'ec.europa.eu/odr.', '03.12.2015', 'www.fair-commerce...']",98,1023
7,2020-11-15,Garden,Seller 57,Seller 57-link,Seller 57-storefrontlink,"1-16 of over 4,000 results","Impressum
 Schindler + Hofmann GmbH & Co KG
 Georg-Mehrtens-Str. 5
 01237 Dresden
 
 Sitz der Gesellschaft: Dresden
 Registergericht: Dresden HRA 7888
 
 Persönlich haftende Gesellschafterin:
 Schindler+Hofmann Verwaltungs-GmbH
 Sitz der Gesellschaft: Dresden
 Registergericht: Dresden HRB 29398
 Geschäftsführer: Sven Schindler, Jens Hofmann
 
 Tel: +49-(0)351-259300-11
 Fax: +49-(0)351-259300-33
 Email: info@kamdi24.de
 
 UST-ID: DE274121967
 
 Deutsche Bank Chemnitz
 DE02 8707 0000 0647 9596 00
 
Online-Schlichtungs...",Business Name:Schindler+Hofmann GmbH & Co. KG,Georg-Mehrtens-Str. 5DresdenSachsen01237DE,15,1,3,2,1424,1231,Visit the Petromax Store,https://www.amazon.de/-/en/stores/Petromax/page/596BEC72-CCEB-44EC-9C41-DAD254B2A788?ref_=ast_bln,98,962,['info@kamdi24.de'],"['351-2593', '351-2593', '2741219', '707 0000', '647 9596']","['kamdi24.de', 'Online-Schlichtungs...']",98,962
8,2020-11-15,Garden,Seller 1724,Seller 1724-link,Seller 1724-storefrontlink,"1-16 of over 2,000 results","Hubert SchmalzbauerGundelsheimer Str. 1491741 TheilenhofenDeutschlandTelefon: 09834/975133Telefax: 09834/974787E-Mail: zierfischtreff@aol.comUmsatzsteuer-Identifikationsnummer: DE181069578Wir weisen allerdings darauf hin, dass wir zur Teilnahme am Streitbeilegungsverfahren weder bereit noch dazu verpflichtet sind. 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem Link finden Sie die Kontaktdaten der...",Business Name:Hubert Schmalzbauer,Gundelsheimer Str 1414Theilenhofen91741DE,16,0,0,1,6845,5137,Visit the Tetra Store,https://www.amazon.de/-/en/stores/Tetra/page/DCE34886-C391-4ADB-953C-11124A982133?ref_=ast_bln,97,910,['zierfischtreff@aol.comUmsatzsteuer-Identifikationsnummer'],"['1491741', '1810695']","['aol.comUmsatzsteuer-Identifikationsnummer', 'https://ec.europa.eu/consumers/odr/', 'der...']",97,910
9,2020-11-15,Garden,Seller 863,Seller 863-link,Seller 863-storefrontlink,"1-16 of over 6,000 results","Vinfiz GmbH
Berliner Straße 59
33330 Gütersloh

Tel.: 05241/9977601
Fax: 05241/9979681
E-Mail.: info@vinfiz.de

UID: DE 815617262
Steuerummer: 351/5721/2040

Amtsgericht Gütersloh: HRB 10359
Sitz der Gesellschaft: Gütersloh

Geschäftsführer: Jan Baretti

Die Firma Vinfiz GmbH ist als Inhaltsanbieter nach § 6 Abs.1 Mediendienste-Staatsvertrag für die ""eigenen Inhalte"", die sie zur Nutzung bereithält, nach den allgemeinen Gesetzen verantwortlich. Von diesen eigenen Inhalten sind Querverweise (""Links"") auf die von...",Business Name:Vinfiz GmbH,Berliner Str.59GüterslohNordrhein-Westfalen33330DE,15,0,0,0,2436,716,STRICKER,https://www.amazon.de/-/en/STRICKER/b/ref=bl_dp_s_web_15230056031?ie=UTF8&node=15230056031&field-lbr_brands_browse-bin=STRICKER,100,669,['info@vinfiz.de'],"['9977601', '9979681', '8156172']","['vinfiz.de', 'Abs.1', 'von...']",100,669
10,2020-11-15,Garden,Seller 158,Seller 158-link,Seller 158-storefrontlink,"1-16 of over 2,000 results","Wir vertreiben vertreiben hochwertige Kochmesser
von japanischen, deutschen und französischen Herstellern. Kochmesser-Shop ist autorisierter Fachhändler der Marken MaestroWU, Global, Wüsthof, Haiku,
Type 301, Chroma, Kasumi, Global, Güde und Eva Solo.

Kontakt & Impressum
kochmesser-shop.com
Eckard Horn
Angerstraße 16
30851 Langenhagen

Tel.: 0511 - 97 81 96 50
Fax: 0511 - 97 81 96 51
kontakt@kochmesser-shop.com

Steuernr.: 27/118/01912

UST-IdNr.: DE253104450","Business Name:Horn, Eckard",Angerstr. 16Langenhagen30851DE,15,0,0,0,2036,1525,Kay Bojesen,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=pets&field-keywords=Kay+Bojesen+,100,576,['kontakt@kochmesser-shop.com'],['2531044'],"['kochmesser-shop.com', 'kochmesser-shop.com']",100,576
11,2020-11-15,Garden,Seller 418,Seller 418-link,Seller 418-storefrontlink,"1-16 of over 2,000 results","Lubalo UG (haftungsbeschränkt)

Bahnhofstr. 21

96247 Michelau

Deutschland



Geschäftsführer: Wolfgang Kolb



Tel.: 09571 4970549

E-Mail: info@lubalo-ug.de



UST-ID: DE298501389



 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa.eu/odr/main/index.cfm?event=main.adr.show",Business Name:Lubalo UG (haftungsbeschränkt),Bahnhofstr.21Michelau96247DE,14,0,1,1,6588,6319,Visit the Philips Store,https://www.amazon.de/-/en/stores/Philips/page/27B5741D-A3D9-49A1-9BC9-579080C75468?ref_=ast_bln,98,524,['info@lubalo-ug.de'],"['571 4970549', '2985013']","['lubalo-ug.de', 'https://ec.europa.eu/consumers/odr/Unter', 'https://webgate.ec.europa.eu/odr/main/index.cfm?event=main.adr.show']",98,524
