,seller_details,seller_names,emails,phoneno,links
0,"Lohas Living Inc James Mazzello US 845 3RD Ave Fl 6 New York NY 10022-6630 +1208-964-6807  Email Address:jadgemaello@gmail.com James Mazzello  US 845 3RD Ave Fl 6 New York NY 10022-6630 +1208-964-6807 EIN: 30-0961431 
The European Commission provides for an Online Dispute Resolution Platform, which you can access here: https://ec.europa.eu/consumers/odr/

Please see the following link for the nationally appointed Alternative Dispute Resolution bodies contact details: https://webgate.ec.europa.eu/od...",Business Name:Lohas Living Inc,['jadgemaello@gmail.com'],"['022-6630', '208-964-6807', '022-6630', '208-964-6807', '0961431']","['gmail.com', 'https://ec.europa.eu/consumers/odr/', 'https://webgate.ec.europa.eu/od...']"
1,67878u6i7 is committed to providing each customer with the highest standard of customer service.,Business Name:nantongaohuanfangzhipinyouxiangongsi,[],[],[]
2,78 68yui678 is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenfeichangshangmeimaoyiyouxiangongsi,[],[],[]
3,7WallArts is committed to providing each customer with the highest standard of customer service.,Business Name:SEVEN WALL ARTS (XIAMEN) LIMITED,[],[],[]
4,888hahahahahaha is committed to providing each customer with the highest standard of customer service.,Business Name:LinFenJingJiKaiFaQuGaoWeiWeiPiJuDian,[],[],[]
5,88IrmaTay is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenshizhinengyifangkejiyouxiangongsi,[],[],[]
6,8IQZ5YI5FI is committed to providing each customer with the highest standard of customer service.,Business Name:beijingbeiheguojinonglinkejifazhanyouxiangongsi,[],[],[]
7,"Impressum
 
 Gesetzliche Anbieterkennung:
 
 Oliver Mills
 9:PM
 An der Bundesstrasse 26
 33829 Borgholzhausen
 Deutschland
 Telefon: 015140008562
 E-Mail: webmaster@9pm-store.de
 USt-IdNr.: DE215752000
 
 Wir sind seit 01.08.2015 Mitglied der Initiative ""FairCommerce"".
 Nähere Informationen hierzu finden Sie unter .fair-commerce.de. Alternative Streitbeilegung: 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem L...",Business Name:Oliver Mills,['webmaster@9pm-store.de'],"['0151400085', '2157520']","['9pm-store.de', '01.08.2015', '.fair-commerce.de.', 'https://ec.europa.eu/consumers/odr/', 'L...']"
8,980 uiyp is committed to providing each customer with the highest standard of customer service.,Business Name:guanyunmomomaoyiyouxiangongsi,[],[],[]
9,99gaodashang is committed to providing each customer with the highest standard of customer service.,Business Name:zhengzhoutianmengxingjinchukoumaoyiyouxiangongsi,[],[],[]
10,Bestof Floral is committed to providing each customer with the highest standard of customer service.,Business Name:MADEWELL SUPPLY INC,[],[],[]
11,"Blumenbecker Industriebedarf GmbH Sudhoferweg 99-107 59269 Beckum Geschäftsführer: Dipl. Kfm. Richard Mayer, Olaf Lingnau Handelsregister: Amtsgericht Münster HRB 7020 Ust-IdNr: DE 214 670 936 Telefon: 02521/8406-0 E-Mail: bib.beckum@blumenbecker.com   
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa.eu/consumers/odr/

Unter diesem Link finden Sie die Kontaktdaten der offiziellen Streitbeilegungsstellen: https://webgate.ec.europa...",Business Name:Blumenbecker Industriebedarf GmbH,['bib.beckum@blumenbecker.com'],['107 5926'],"['bib.beckum', 'blumenbecker.com', 'https://ec.europa.eu/consumers/odr/', 'https://webgate.ec.europa...']"
12,"Herzlich willkommen auf unserer Internetpräsents.
     
     
 
     Wir sind ein alt eingesessenes Blumen-Fachgeschäft im Herzen von Korntal.
     

     Unser Ziel im Internet ist es, ihnen eine gute Qualität kombiniert mit kompetenter Beratung zukommen zu lassen.
     

     
     

     Lassen Sie sich bei der Verschönerung ihres Gartens bei einem Rundgang durch unsere virtuellen Verkaufsräume inspirieren und kompetent beraten.
     

      
     

     Unsere Schwerpunkte im Internet:
      
     

     Rasensamen
     

     Blumenzwiebeln
     

     Sämereien allgemein

     BIO Sämereien
     

     Pflanzenschutz von Bayer
     

     
     Chrysal D...",Business Name:Jörg Müller & Petra Scheerer GbR,[],[],['D...']
13,"Gesetzliche Anbieterkennung: boni-shop.com OHG
 Wissmannstraße 58
 27755 Delmenhorst
 Deutschland
 Vertretungsberechtigte Gesellschafter: Klaas Niermann, Jens Böckenhauer, Christian Böttcher
 Telefon: 04221 45 777 00
 Telefax: 04221 45 777 10
 E-Mail: amazon@boni-shop.com
 USt-IdNr.: DE 283905130
 eingetragen im Handelsregister des Amtsgerichtes Oldenburg
 Handelsregisternummer HRA 206702 
Die Europäische Kommission bietet eine Onlineplattform für Streitbeilegung an, die Sie hier finden: https://ec.europa....",Business Name:boni-shop.com OHG,['amazon@boni-shop.com'],['2839051'],"['boni-shop.com', 'boni-shop.com', 'https://ec.europa....']"
14,Bristol Fashion is committed to providing each customer with the highest standard of customer service.,Business Name:Bristol Fashion,[],[],[]
15,charglius is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenshi hualincai maoyi youxian gongsi,[],[],[]
